nr,call,startdate,enddate,qth
816,KC9IRQ,20081222,,IN
817,KD4SVN,20081226,,TX
818,CT4KG,20081227,,Portugal
819,KC9TS,20081227,,WI
820,K9OSC,20081229,,MN
821,KE4WLE,20081229,,OH
822,WK9X,20081231,,IN
823,W4ATX,20090101,,TN
824,NU4C,20090103,,FL
825,N2QQF,20090103,,NY
826,RK3DSW,20090103,,Russia
827,G7OGX,20090104,,UK
828,YV5IAL,20090105,,Venezuela
829,HS0ZHG,20090105,,Thailand
830,YO6DBL,20090106,,Romania
831,WA0KAQ,20090106,20130716,CO
832,VE4VID,20090106,,Canada
833,NI1L,20090107,,MA
834,N0NM,20090107,,KS
835,EA5GVZ,20090107,,Spain
836,EA5FL,20090107,,Spain
837,W3TNU,20090107,,PA
838,KX8K,20090111,,OH
839,N1MGO,20090111,,MA
840,2W0WDS,20090111,,UK
841,AA1ME,20090112,,ME
842,AB3GY,20090112,,PA
843,G3ZOH,20090112,,UK
844,W1BAN,20090112,,MA
845,AA9UF,20090112,,IL
846,KF4AAF,20090113,,FL
847,KI4PZH,20090113,,FL
848,YO9BPX,20090119,,Romania
849,KI3N,20090121,,AL
850,KV9L,20090125,,IN
851,KD0BIK,20090125,,CO
852,N6HI,20090127,,AZ
853,N3PPH,20090131,,MD
854,WD9FTZ,20090131,,OH
855,K7BLS,20090202,,OR
856,W4DOW,20090203,,VA
857,KF7MKR,20090207,,WA
858,NT2B,20090209,,NY
859,EA7AHA,20090209,,Spain
860,K8SM,20090212,,OH
861,KA2HHB,20090212,20111223,NJ
862,G6XOU,20090212,,UK
863,M3ZKT,20090215,,UK
864,WD5GNR,20090215,,TX
865,AJ4JD,20090217,,TN
866,AJ4IJ,20090217,,TN
867,KC0VGC,20090217,,MO
868,K6UMO,20090218,,CA
869,N7WET,20090223,,AZ
870,KJ4FYX,20090228,,NC
871,K4RRF,20090228,20110427,FL
872,WA7ETE,20090303,,WA
873,K2ATX,20090303,,NJ
874,M0JRA,20090303,,UK
875,WA3WZR,20090308,,PA
876,OE3SGU,20090308,,Austria
877,K2EN,20090313,,NY
878,YL2CA,20090323,,Latvia
879,AA1VS,20090323,,MA
880,SV2FLQ,20090323,,Greece
881,IW2MYH,20090324,,Italy
882,W1EMM,20090324,,MO
883,EA1YN,20090324,,Spain
884,WA2VQV,20090325,,DE
885,EA5DM,20090325,,Spain
886,EB5DZC,20090325,,Spain
887,W5UHQ,20090327,,OH
888,WC7X,20090328,,UT
889,AK8CW,20090330,,UT
890,N0CSW,20090330,,MO
891,N8NVL,20090331,,MI
892,K5JVC,20090402,,OK
893,CT1DZE,20090403,,Portugal
894,AA1IK,20090403,20170130,FL
895,LA2VRA,20090404,,Norway
896,NO5X,20090406,20100716,OK
897,K0ABC,20090406,,MO
898,K4EOD,20090406,,FL
899,VE3MCF,20090408,,Canada
900,W5NYC,20090409,,FL
901,KA2HEM,20090411,,NY
902,KE7HWM,20090412,,AZ
903,W0BST,20090412,,MO
904,K2CWM,20090412,,NJ
905,VE7XLF,20090412,,Canada
906,VE7HBS,20090412,,Canada
907,W4DDR,20090412,,TN
908,K3USC,20090413,,OH
909,W0GLB,20090414,,CO
910,KU0X,20090416,,KS
911,YO3DLK,20090416,,Romania
912,W8WFD,20090418,,OH
913,W5EPC,20090418,,TX
914,SP5XSL,20090424,,Poland
915,YV5MM,20090424,20180426,Venezuela
916,WD4LYV,20090424,,GA
917,KE4EX,20090429,,VA
918,WB6NKJ,20090430,,CA
919,KC4TIE,20090505,,KY
920,F4BYF,20090512,,France
921,AB0DI,20090520,,IA
922,AE5KD,20090522,,TX
923,PA3GWH,20090601,,Netherlands
924,F8BON,20090601,,France
925,KC9JUY,20090601,,IL
926,K4UOL,20090601,,KY
927,WD0DXD,20090601,,NE
928,N9SB,20090601,,IL
929,KF4BI,20090602,,GA
930,K9PLX,20090602,,IL
931,AE5HO,20090602,,TX
932,VA3RNJ,20090602,,Canada
933,K4ESB,20090602,,TN
934,KF9KV,20090602,,WI
935,NW7US,20090602,,NE
936,K9XL,20090603,,IL
937,KC9GGV,20090603,,IN
938,AB2YS,20090603,,NJ
939,HA8TI,20090603,,Hungary
940,W1NRB,20090603,,NC
941,UA6JD,20090603,,Russia
942,KE7WVV,20090603,,AZ
943,KE5PRL,20090603,,MS
944,KA9CLP,20090604,,IL
945,W1NDY,20090604,20180425,OR
946,W1TG,20090604,,NH
947,UA3TN,20090604,,Russia
948,K3XLT,20090604,,PA
949,F2LZ,20090605,,France
950,RN3DFN,20090605,,Russia
951,PB7Z,20090605,,Netherlands
952,AK4DW,20090605,,TN
953,PU5AAD,20090605,,Brazil
954,DF9DD,20090608,20170901,Germany
955,N6DLC,20090608,,CA
956,K8MCN,20090608,,MO
957,WF7T,20090608,,TN
958,K1NNJ,20090608,,MA
959,K4SBZ,20090612,,FL
960,W8POF,20090612,,OH
961,K4YCF,20090615,,FL
962,G8LRS,20090621,,UK
963,NK2X,20090622,,NJ
964,KE5ZZN,20090625,,TX
965,OM7OM,20090625,,Slovakia
966,YV6AO,20090701,,Venezuela
967,K9ZXO,20090701,,IL
968,N4CDB,20090701,,FL
969,N9AC,20090703,,WI
970,K9WIS,20090706,,WI
971,AI5Z,20090706,,AR
972,NX8G,20090706,,OH
973,K2MUN,20090707,,NJ
974,AP2MIZ,20090712,,Pakistan
975,W0PE,20090715,,CA
976,EA4JJ,20090719,,Spain
977,AB8XA,20090719,,OH
978,UT2EZ,20090722,,Ukraine
979,NN8M,20090722,,OH
980,KI6HAX,20090727,,CA
981,K4RZR,20090727,,FL
982,AE5LO,20090729,,MS
983,KB1LUO,20090729,,ME
984,ON7DC,20090729,,Belgium
985,WB4JJJ,20090801,,VA
986,W9ATB,20090805,,IN
987,KB3OSP,20090807,,PA
988,EB3JT,20090808,,Spain
989,W0FVR,20090810,,SD
990,W3OFD,20090811,,PA
991,W6MDH,20090811,,CA
992,WB9ONU,20090811,,IN
993,K1CGI,20090813,,FL
994,IZ2OAR,20090813,,Italy
995,W5NNH,20090813,,GA
996,2E0JCA,20090815,,UK
997,EA4DB,20090815,,Spain
998,2E0VWX,20090818,,UK
999,N7NMS,20090819,,MD
1000,WA2VMO,20090820,,NY
1001,VE9NC,20090820,,Canada
1002,AI1N,20090820,20100707,FL
1003,KI4KK,20090823,,NC
1004,N9WKW,20090823,,IN
1005,KG3UM,20090823,,DC
1006,K0PT,20090823,,VA
1007,EA1GFY,20090823,,Spain
1008,W4JHU,20090824,,VA
1009,M0RBY,20090824,,UK
1010,N4MRW,20090824,,NC
1011,WX9WL,20090824,,IL
1012,VA2LGQ,20090825,,Canada
1013,KB2UUL,20090825,,NC
1014,N3KCM,20090826,,PA
1015,WA1MJS,20090827,,ME
1016,W5JP,20090830,,TX
1017,KD8GNC,20090902,,OH
1018,W4ASE,20090905,,GA
1019,N4FI,20090908,,VA
1020,N4RP,20090908,,VA
1021,SQ1EIX,20090908,,Poland
1022,W4WWJ,20090912,,FL
1023,NC4MI,20090913,,NC
1024,NF7D,20090914,,Al
1025,N3GGT,20090919,,PA
1026,PY2CX,20090919,,Brazil
1027,KE5LLM,20090923,,CA
1028,K7TRK,20090930,20150701,OR
1029,W1DFG,20091003,,MA
1030,AK4NC,20091003,,NC
1031,K2MJ,20091006,,NY
1032,PA7RA,20091006,,Netherlands
1033,N7FFL,20091011,,AZ
1034,K3MWR,20091013,,PA
1035,TA3BQ,20091013,20130319,Turkey
1036,CO8CML,20091017,,Cuba
1037,NI4NN,20091018,,FL
1038,YO8RZE,20091024,,Romania
1039,W8BS,20091028,,WV
1040,KC9DOA,20091031,20160816,WI
1041,N2ZA,20091102,,NY
1042,KC5GB,20091104,,TX
1043,KD0FYF,20091106,,CO
1044,KB1NAL,20091106,,CT
1045,EI3GRB,20091112,,Ireland
1046,W9NKV,20091112,,IL
1047,M6MAL,20091112,,UK
1048,K6JEB,20091118,,CA
1049,ND2K,20091119,,NJ
1050,KJ1I,20091119,,NH
1051,W5DPR,20091122,,AR
1052,AB8CC,20091125,,OH
1053,VA3MJR,20091125,,Canada
1054,LU2VC,20091125,,Argentina
1055,YO5BBO,20091129,,Romania
1056,KD2NL,20091205,,TN
1057,PB7XYL,20091206,,Netherlands
1058,VE7BSM,20091206,,Canada
1059,N7LYR,20091207,,GA
1060,W4MPS,20091212,,NC
1061,IZ8PPJ,20091213,,Italy
1062,IK8YFU,20091213,,Italy
1063,K2AFY,20091213,,NJ
1064,YV4FUE,20091215,,Venezuela
1065,KZ3T,20091215,,NC
1066,KE7SEI,20091215,,OR
1067,N8MOX,20091216,,OH
1068,VA2SG,20091216,,Canada
1069,N3TL,20091220,,IN
1070,KI3F,20091220,,PA
1071,W2TT,20091222,,NJ
1072,IZ2OBS,20091222,,Italy
1073,N9WVM,20091223,,IN
1074,EA7HHV,20091230,,Spain
1075,CX8ABF,20091230,,Uruguay
1076,W1MSN,20091230,,NH
1077,KC2BPP,20091230,,NY
1078,K1BAA,20100108,,CA
1079,KC9JBU,20100108,,IL
1080,EA3AT,20100110,,Spain
1081,KE5PYF,20100110,,TX
1082,YO5PIP,20100110,,Romania
1083,AG3L,20100110,,PA
1084,YB4IR,20100110,,Indonesia
1085,K3WOW,20100110,,PA
1086,IN3NJB,20100110,,Italy
1087,S56EPX,20100110,,Slovenia
1088,KC9JSE,20100111,,IN
1089,LY3BY,20100111,20150803,Lithuania
1090,VE2HAR,20100111,,Canada
1091,WT0DX,20100111,,CO
1092,K3DCW,20100112,,MD
1093,N0EOP,20100118,,IN
1094,CE1VCZ,20100118,,Chile
1095,K4MSC,20100119,,WA
1096,RA9OO,20100119,,Russia
1097,VA3JFF,20100120,,Canada
1098,N7MQ,20100122,20150502,OR
1099,AF6SA,20100122,,CA
1100,KB2PSP,20100124,,CO
1101,W2HEN,20100126,,NY
1102,YO4AAC,20100130,,Romania
1103,KE6WGG,20100130,,CA
1104,K4NKY,20100130,,KY
1105,CX5UR,20100203,,URUGUAY
1106,AG4GM,20100203,,VA
1107,KC8KCU,20100206,,MI
1108,K1ESM,20100206,,NH
1109,WA0YEI,20100207,,TX
1110,ON6DP,20100211,,BELGIUM
1111,AC7QO,20100212,,UT
1112,KD7UFF,20100214,,WA
1113,K2TY,20100218,,AL
1114,SV4FFL,20100219,,GREECE
1115,WA1IOG,20100221,,FL
1116,KI4EIZ,20100224,,AL
1117,ON6NA,20100226,,BELGIUM
1118,AB8XG,20100226,,OH
1119,WD0AJG,20100302,,CO
1120,YB8EXL,20100302,,INDONESIA
1121,HI8CJG,20100302,,DOMINICAN REP
1122,PU4ISA,20100308,,BRAZIL
1123,KG4TTQ,20100308,,GA
1124,KE6MGW,20100309,,TX
1125,KY6M,20100309,,CA
1126,K8GCU,20100309,,OK
1127,OK1UUS,20100317,,CZECH REP
1128,W1ORS,20100318,,CT
1129,LU6DEZ,20100319,,ARGENTINA
1130,PS7YL,20100320,,BRAZIL
1131,PS7DX,20100320,,BRAZIL
1132,K8PEZ,20100320,,OH
1133,N2JNZ,20100320,,NY
1134,AL7CR,20100325,,OR
1135,PU5ATX,20100325,,BRAZIL
1136,AA0CW,20100327,,CO
1137,WN3M,20100330,,PA
1138,UA0IT,20100330,,RUSSIA
1139,KW7E,20100401,,AZ
1140,K0ACP,20100402,,MI
1141,HI5MLE,20100402,,DOMINICAN REP
1142,WR4PS,20100403,,VA
1143,K7VIC,20100403,,MT
1144,KA6HXI,20100404,20110721,CA
1145,W5MIC,20100405,,MS
1146,ND3N,20100408,,OH
1147,M0ZWW,20100410,,UK
1148,N8NOE,20100410,,NV
1149,WC5MC,20100410,,TX
1150,K3AXR,20100413,,MD
1151,N2SLB,20100413,20150524,NY
1152,KJ7HQ,20100413,,WA
1153,AC0VI,20100414,,IA
1154,VK8AS,20100414,,AUSTRALIA
1155,SA7ARD,20100420,,SWEDEN
1156,PY2JZ,20100425,,BRAZIL
1157,IZ8EWD,20100428,,ITALY
1158,N7IYT,20100501,,AZ
1159,G4GQL,20100505,,UK
1160,WA9BB,20100507,,IL
1161,W3SFG,20100507,,MD
1162,HA2BM,20100508,,HUNGARY
1163,K5ATN,20100510,,NY
1164,IK1AMC,20100510,,ITALY
1165,VA7HZ,20100510,,CANADA
1166,N8DZR,20100511,,MI
1167,KK7BV,20100514,,AZ
1168,K5CC,20100514,,TX
1169,N7UVH,20100518,,ID
1170,YU5GPS,20100520,,SERBIA
1171,K3ACT,20100601,,MD
1172,K6GHD,20100601,,CA
1173,KC7VLO,20100601,,WA
1174,K5JWM,20100601,,TX
1175,KS3K,20100601,,FL
1176,K7OO,20100601,,OR
1177,N9JAM,20100601,,NY
1178,LZ1OI,20100601,20180122,BULGARIA
1179,DK5LP,20100601,,GERMANY
1180,W5JLF,20100601,,TX
1181,N4NQ,20100601,,GA
1182,N9BBE,20100601,,IL
1183,N4YHC,20100601,,KY
1184,W4PHS,20100604,,TN
1185,W4RIG,20100604,,MA
1186,K2GLW,20100606,,NY
1187,W3SE,20100608,,CA
1188,ZL3TE,20100608,,NZ
1189,DB4BJ,20100612,,GERMANY
1190,AJ4TZ,20100613,,KY
1191,N7RI,20100614,,WY
1192,N6OPR,20100615,,AZ
1193,KC5GRE,20100618,20130816,OK
1194,AC2BK,20100621,,NJ
1195,N9NTC,20100621,,WI
1196,N4ST,20100622,,VA
1197,SP1KAA,20100625,,POLAND
1198,KM5FF,20100629,,NM
1199,OK1AW,20100629,,CZECH REP
1200,SM7HZK,20100629,,SWEDEN
1201,K4RAY,20100630,,FL
1202,AE7AB,20100703,,MT
1203,VE3NQK,20100703,,CANADA
1204,N6CVA,20100703,,CA
1205,W9ANT,20100709,,IL
1206,KC0SKW,20100709,,KS
1207,W6OI,20100710,,WI
1208,W4IWH,20100713,,SC
1209,KD5BYB,20100717,,AL
1210,N5WD,20100717,,TX
1211,G3PGA,20100722,,ENGLAND
1212,HC6EP,20100723,,ECUADOR
1213,LU7DSY,20100726,,ARGENTINA
1214,KQ0I,20100726,,IA
1215,KI4ECX,20100730,,TN
1216,W9AWF,20100730,,IN
1217,W5FER,20100802,,TX
1218,KC2WUF,20100806,,NJ
1219,K2DER,20100809,,IL
1220,K9KEN,20100810,,WI
1221,W7CAR,20100813,,OR
1222,AC0QG,20100818,,CO
1223,N8PIB,20100910,,OH
1224,SP6EIY,20100819,,POLAND
1225,W9WY,20100820,,IN
1226,W0WFX,20100820,,MO
1227,KB9UMT,20100823,,IL
1228,W5HOY,20100823,,OK
1229,KB1TSU,20100823,,MA
1230,R3HH,20100824,,RUSSIA
1231,K8WAW,20100824,,MI
1232,KA2OMQ,20100825,,NY
1233,K7BAW,20100828,,AZ
1234,K8SI,20100829,,VA
1235,N4AED,20100902,,NC
1236,SQ9S,20100904,,POLAND
1237,YO3GD,20100906,,ROMANIA
1238,K4GS,20100907,,TN
1239,W1SS,20100908,,MA
1240,W1MSG,20100910,,MA
1241,IZ0EGY,20100910,20130414,ITALY
1242,AC8IZ,20100911,,IN
1243,N6HE,20100911,,CA
1244,KJ8O,20100913,,CA
1245,KE7NTF,20100915,,OR
1246,K3BMK,20100920,,PA
1247,VK4LDX,20100921,,AUSTRALIA
1248,KE5GAE,20100924,,AR
1249,W0MRZ,20100924,,IA
1250,EA2NR,20100929,,SPAIN
1251,RZ9UCZ,20101001,,RUSSIA
1252,KB7SAT,20101005,,NV
1253,IK4IDF,20101006,,ITALY
1254,IZ1RFL,20101009,,ITALY
1255,AE0XI,20101011,,SD
1256,KD7ZLF,20101011,,OR
1257,W8RCW,20101012,,FL
1258,YO4FKO,20101015,,ROMANIA
1259,KD8GHS,20101015,,OH
1260,ON7BL,20101021,,BELGIUM
1261,M6TZY,20101021,,ENGLAND
1262,VE3QRA,20101021,,CANADA
1263,SV9FBK,20101026,,GREECE
1264,KC5ZFZ,20101027,,CO
1265,KC0PTO,20101027,,KS
1266,S56IPS,20101106,,SLOVENIA
1267,KG4KGL,20101109,,SC
1268,KF7MAX,20101117,,OR
1269,K0PU,20101117,,MN
1270,W2GPK,20101117,,NJ
1271,YB8EL,20101118,,INDONESIA
1272,W2HIY,20101119,,NY
1273,KC2RXS,20101119,,VA
1274,OH7HPM,20101121,,FINLAND
1275,KB8AQK,20101121,,OH
1276,K7MD,20101121,,OR
1277,K9OHI,20101122,,SC
1278,AB8O,20101122,,OH
1279,W2ACY,20101122,,TX
1280,KE7YFP,20101122,,WA
1281,K6IRF,20101122,,CA
1282,AI4SV,20101123,,VA
1283,W1SSF,20101125,,TX
1284,VE1YY,20101129,,CANADA
1285,N3YEA,20101129,,PA
1286,K5HM,20101129,,TX
1287,K5ECX,20101201,,TX
1288,OK2HB,20101202,,CZECH REP
1289,WI5D,20101207,20160823,TX
1290,HI8S,20101211,,DOMINICAN REP
1291,EA6SK,20101214,,SPAIN
1292,N9IN,20101217,,IN
1293,NZ4DX,20101221,,NC
1294,KC9LIF,20101223,,IL
1295,KA9NFE,20101226,,IL
1296,N7DQ,20101226,,WA
1297,IW0GVG,20101226,,ITALY
1298,UA3YAA,20101227,20170504,RUSSIA
1299,VE2ESU,20101228,,CANADA
1300,WB7RXY,20101231,,ID
1301,KC2TYZ,20110103,20121013,NJ
1302,N2SI,20110103,,WA
1303,W4RDD,20110105,,VA
1304,SP9DTE,20110105,,POLAND
1305,K5EVR,20110105,,TX
1306,SQ7EQB,20110106,,POLAND
1307,ZL3GA,20110109,,NEW ZEALAND
1308,YO4CVV,20110109,,ROMANIA
1309,WA0HPN,20110109,,ND
1310,KM7N,20110110,,AZ
1311,F6CBA,20110110,,FRANCE
1312,LU4ECN,20110110,,ARGENTINA
1313,W8LIG,20110110,,OH
1314,SP9BGS,20110110,,POLAND
1315,N8DAD,20110110,,MI
1316,KF5FCV,20110110,,TX
1317,YV9OHG,20110110,,VENEZUELA
1318,WX2U,20110110,,NY
1319,N2CG,20110111,,NJ
1320,KD8JSP,20110111,,MI
1321,N3ES,20110111,,DC
1322,KC8Q,20110111,,OH
1323,NT5Q,20110111,,TX
1324,GM6HGF,20110111,,UK
1325,W3OLH,20110112,,PA
1326,G0ANS,20110117,,ENGLAND
1327,VE3EBN,20110119,20190621,CANADA
1328,J37LR,20110120,20190621,GRENADA
1329,W8KQ,20110122,,MI
1330,W9JMJ,20110123,,IN
1331,KC7NHT,20110124,,OR
1332,KI6SAI,20110124,,CA
1333,KB9HGI,20110125,,IL
1334,EA4FLM,20110126,,SPAIN
1335,W8IJ,20110130,,PA
1336,EA4EQ,20110131,,SPAIN
1337,N3AAZ,20110203,,MD
1338,K5AHL,20110204,,TX
1339,SQ7PGO,20110205,,POLAND
1340,N9FR,20110207,,MO
1341,EA3ATJ,20110210,,SPAIN
1342,AC8GF,20110214,,MI
1343,VE7SP,20110214,,CANADA
1344,NA0Q,20110216,,MO
1345,K2HU,20110217,,PA
1346,UY3MW,20110217,,UKRAINE
1347,K8GIB,20110221,,OH
1348,AF6WC,20110224,,CA
1349,UN6QC,20110226,,Borolday
1350,N1KRC,20110304,,MA
1351,W4GVL,20110304,,FL
1352,K0JV,20110304,,SD
1353,KV9E,20110307,,IL
1354,RK6AX,20110314,,RUSSIA
1355,VA3PC,20110317,,CANADA
1356,K1MGH,20110318,,MA
1357,XE1GK,20110318,,MEXICO
1358,K6BSO,20110319,,CA
1359,WE1SH,20110319,,OR
1360,N4FOB,20110319,,FL
1361,AI4PD,20110321,,NC
1362,KJ4FEC,20110322,,FL
1363,KD4DPB,20110322,,SC
1364,AG4JC,20110401,,FL
1365,N9BAV,20110401,,TX
1366,WD4F,20110401,,NC
1367,WK5X,20110405,20131124,VA
1368,KE5TD,20110406,,AR
1369,AC8IC,20110407,,MI
1370,W1CAM,20110408,,NE
1371,G7PUK,20110410,,ENGLAND
1372,K3CWF,20110410,,DE
1373,K0DWZ,20110411,,AZ
1374,KE6SEI,20110412,,CA
1375,M0UTD,20110416,,ENGLAND
1376,EA2TA,20110419,,SPAIN
1377,RN3DMN,20110502,,RUSSIA
1378,KW4G,20110502,,FL
1379,W1GLO,20110509,,MA
1380,K4AFR,20110511,,GA
1381,5P1W,20110511,,DENMARK
1382,EX8AB,20110511,,KYRGYZSTAN
1383,UA9TK,20110514,,RUSSIA
1384,WB9FMR,20110517,,WI
1385,G0MPR,20110522,,ENGLAND
1386,AI4QJ,20110530,,NC
1387,KU4BY,20110530,,NC
1388,KB4NS,20110530,,TN
1389,N3WLB,20110530,,PA
1390,WD4KAV,20110530,,WA
1391,F4ILX,20110530,,FRANCE
1392,KQ3Q,20110530,,MD
1393,KM4XD,20110531,,FL
1394,K7ASQ,20110531,,AZ
1395,AK5Y,20110531,,TX
1396,AD0QO,20110531,20151113,KS
1397,KG4RUL,20110531,,SC
1398,K4BSC,20110531,,SC
1399,W9JR,20110601,,WI
1400,KC2HEI,20110607,,NY
1401,WA5MS,20110614,,TX
1402,K7FRY,20110619,,AZ
1403,W2GLH,20110627,,NJ
1404,WQ1C,20110701,,TX
1405,VE2UC,20110701,,CANADA
1406,N2QMT,20110704,,NY
1407,W9TCJ,20110704,,CA
1408,WA3YTK,20110704,,MD
1409,AA8VG,20110705,,MI
1410,N2CQ,20110705,20191012,NJ
1411,VK2MBK,20110707,,AUSTRALIA
1412,VE3DV,20110718,,CANADA
1413,WB3BDH,20110718,,AZ
1414,N6VHF,20110719,,CA
1415,KY4J,20110719,,VA
1416,SP9NWN,20110721,,POLAND
1417,W4DTB,20110723,,NC
1418,N4MAW,20110726,,TN
1419,K1NOX,20110726,,ME
1420,SQ5NWF,20110729,,POLAND
1421,K0JZ,20110729,,KS
1422,K2NCC,20110729,,OR
1423,LW3ESH,20110804,,ARGENTINA
1424,N2GXJ,20110808,,NJ
1425,W8IDW,20110809,,WV
1426,KP4RV,20110809,,PR
1427,PY3CJS,20110815,,BRAZIL
1428,N2UGA,20110823,,TN
1429,K3CAL,20110824,,MD
1430,M0IFR,20110829,,ENGLAND
1431,M0CET,20110829,,ENGLAND
1432,K5DDM,20110829,,TX
1433,N6YC,20110906,,CA
1434,K0MC,20110910,,CO
1435,WB2QEF,20110910,,SC
1436,VU2OB,20110912,,INDIA
1437,NI3C,20110913,,MD
1438,W0ICE,20110923,,NE
1439,NF7T,20111005,,ID
1440,K2QB,20111006,,NY
1441,RX3VF,20111011,,RUSSIA
1442,KD9G,20111012,,IL
1443,K5CVD,20111013,,SC
1444,XE1UYS,20111014,,MEXICO
1445,AD7KI,20111014,,OK
1446,KB3MNO,20111016,,NY
1447,OK1CT,20111016,,CZECH REP
1448,KD5JHE,20111017,,MS
1449,KR6ER,20111020,,OR
1450,PY2AB,20111102,,BRAZIL
1451,K2OI,20111102,,NY
1452,WB8C,20111105,,VA
1453,W0SRB,20111109,,MO
1454,W6QP,20111109,,CA
1455,W9JFB,20111117,,IL
1456,IT9DVZ,20111121,,ITALY
1457,CT1EWA,20111122,,PORTUGAL
1458,RA3VX,20111123,,RUSSIA
1459,K9MIT,20111125,,IN
1460,KC0DY,20111127,,MO
1461,YO9ILX,20111127,,ROMANIA
1462,K8QZK,20111129,,MI
1463,IK8JKU,20111204,,ITALY
1464,DL8VKO,20111207,20190413,GERMANY
1465,AB8M,20111213,,OH
1466,GW4GUG,20111216,,WALES, UK
1467,KE4BLV,20111228,,AL
1468,ND3H,20111231,,FL
1469,TA1DX,20120104,,TURKEY
1470,VA7GEM,20120104,,CANADA
1471,SP1DPA,20120104,,POLAND
1472,PE1POI,20120105,,NETHERLANDS
1473,PA3GAN,20120105,,NETHERLANDS
1474,N4CPT,20120105,,FL
1475,OE3UKW,20120105,,AUSTRIA
1476,ZL1LC,20120106,,NEW ZEALAND
1477,SV3ICL,20120106,,GREECE
1478,OK1JIR,20120109,,CZECH REP
1479,AJ4TF,20120109,,NC
1480,WA8DJV,20120111,,OH
1481,W7RIV,20120113,,UT
1482,KA1PPV,20120114,,CT
1483,KB8CMB,20120117,,OH
1484,W9SDX,20120117,,FL
1485,AB9QU,20120118,,IN
1486,VE1GLW,20120123,20160117,CANADA
1487,DC0ASP,20120123,,GERMANY
1488,KO3D,20120127,20180130,PA
1489,N7ELB,20120207,,OR
1490,WB5LAI,20120217,,MS
1491,KF7GMV,20120221,,ID
1492,JA1FMN,20120224,,JAPAN
1493,WM3PEN,20120225,,PA
1494,VE3YF,20120305,,CANADA
1495,AK4HR,20120317,,SC
1496,KF4CQ,20120317,,FL
1497,K8GGL,20120317,,MI
1498,KB8AOB,20120322,,WV
1499,AD0QM,20120328,,MN
1500,WE8R,20120328,,OH
1501,NM4SH,20120331,,VA
1502,KK6BJ,20120402,,CA
1503,DO1IP,20120403,,GERMANY
1504,WB9BW,20120406,,IN
1505,KJ2U,20120409,,WA
1506,K2CAF,20120409,,FL
1507,NP4AW,20120410,,PR
1508,NP3V,20120413,,PR
1509,KA5VZG,20120414,,TN
1510,K4NRS,20120417,,FL
1511,WP4NYY,20120419,,MA
1512,ZS6JPS,20120420,,SOUTH AFRICA
1513,W7JSD,20120421,,AZ
1514,WA7SCH,20120426,,WA
1515,N6VNI,20120427,,CA
1516,N6STA,20120430,,CA
1517,W8DCB,20120506,,OH
1518,W5WF,20120512,,TX
1519,KD0QYN,20120512,,MO
1520,W8TNO,20120522,,MI
1521,K8KGX,20120528,,OH
1522,KC7RPO,20120528,,OR
1523,K6IAA,20120528,,CA
1524,K5TLL,20120528,,MS
1525,K1RBY,20120528,,FL
1526,N5XRD,20120528,,TX
1527,EI3CTB,20120528,,IRELAND
1528,WA9AQQ,20120528,,AR
1529,F5GPE,20120528,,FRANCE
1530,N8KSG,20120528,,NC
1531,KG2MD,20120528,,AL
1532,SM5SNF,20120528,,SWEDEN
1533,N3GTY,20120530,,NC
1534,N0MO,20120602,,IL
1535,LY2BVB,20120602,,LITHUANIA
1536,N5MT,20120602,,LA
1537,WH6S,20120604,,HI
1538,K1SEA,20120604,,MA
1539,VE6QO,20120604,,CANADA
1540,KD6DWX,20120604,,CA
1541,WA2HMM,20120608,,NY
1542,CE2WZ,20120610,,CHILE
1543,F8BFU,20120616,,FRANCE
1544,VE6DJT,20120620,,CANADA
1545,WB4M,20120626,,NC
1546,KC2YRR,20120628,,NY
1547,K2FN,20120629,,NJ
1548,DH7OM,20120701,,GERMANY
1549,W7NZ,20120703,,UT
1550,AA0AA,20120705,,NE
1551,NC8J,20120706,,OH
1552,W4WNT,20120708,,NC
1553,K4REB,20120710,,NC
1554,W8KRF,20120710,,OH
1555,K3YP,20120711,,OH
1556,W5JDA,20120711,,TX
1557,ES6JAN,20120716,,ESTONIA
1558,AI4QP,20120723,,FL
1559,KK4JOW,20120725,,NC
1560,NF8I,20120725,,MD
1561,N7MJ,20120726,,WY
1562,N1CBJ,20120728,20130404,ME
1563,N4NHO,20120806,,FL
1564,M0LHS,20120808,,ENGLAND
1565,JH7RTQ,20120815,,JAPAN
1566,AK4HP,20120819,,NC
1567,W2PCC,20120819,,NY
1568,KR4LU,20120823,,AZ
1569,KA0USA,20120830,,AZ
1570,AB9JT,20120831,,IN
1571,W5YH,20120906,,AR
1572,NE4U,20120907,,WI
1573,K5KRB,20120910,,TX
1574,W4HIX,20120910,,MA
1575,WM9I,20120917,,IL
1576,N4WXB,20120923,,AL
1577,VA3UG,20120923,,CANADA
1578,K4DCG,20120924,,KY
1579,KC9SEB,20120924,,IL
1580,WS4V,20120926,,GA
1581,W2RAN,20120928,,NH
1582,KI4SP,20120929,,AL
1583,RV3YR,20121006,,RUSSIA
1584,AI3T,20121008,,FL
1585,SQ3LLJ,20121011,,POLAND
1586,LU8AFR,20121017,,ARGENTINA
1587,G6BFP,20121020,,ENGLAND
1588,ZS6ACW,20121107,,SOUTH AFRICA
1589,LU3CM,20121111,,ARGENTINA
1590,UX1IW,20121111,,UKRAINE
1591,K1ARL,20121117,,FL
